Collection;Source;Description-projet;tilte;Linked in item;Publisher;Creator;Contributor;Format;Type;Langage;Description0;Date;Coverage;Coverage2;Subject;Description;Description3;Œuvres citées - références;Lieux cités;Description6;Rights;License
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;16 mai 1954;ARL10;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1954-03-16;France;1948-1983;N.R.F. (1919-) | Critique littéraire;Jean Duvignaud remercie M. Arland de le conforter à la N.R.F. et exprime une opinion sur Louis Berthe.;Personnes citées : Berthe, Louis (1927-1968);;;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;28 décembre 1954;ARL11;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1954-12-28;France;1948-1983;Personnel;Vœux;Personnes citées : Arland, Janine;;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;24 février 1955;ARL12;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-02-24;France;1948-1983;N.R.F. (1919-) | Critique dramatique;Jean Duvignaud s'est vu refuser par Rol. Gallimard un projet de texte sur 'la société moderne jugée par son théâtre'.;Personnes citées : Gallimard, Roland | Stendhal (1783-1842);;12 rue de la Glacière - Paris (France) XIIIe;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;04 avril 1955;ARL13;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-04-04;France;1948-1983;N.R.F. (1919-) | Sociologie | Personnel;Arland, Marcel à envoyé à Jean Duvignaud son livre La grâce d'écrire. Jean Duvignaud promet d'envoyer pour la N.R.F. un texte sur la misère de la sociologie contemporaine.;;Arland, Marcel, La grâce d'écrire, Gallimard, 1955;Royaumont;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;21 mai 1955;ARL14;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-05-21;France;1948-1983;Personnel | N.R.F. (1919-);En PS, Jean Duvignaud évoque Théâtre Populaire et la critique de la N.R.F. à son égard.;Personnes citées : Malraux, Clara (1897-1982);;Weimar | Vienne;N.R.F. (1919-) | Théâtre Populaire;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;28 juillet 1955;ARL15;Projet ESR - ESNA;Jean Duvignaud (1921-2007);"Malraux, Clara (1897-1982) ; Bougeaud, Georges (1914-1998)";Support : Papier sans filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-07-28;France;1948-1983;Personnel | Théâtre;Jean Duvignaud raconte son séjour dans le sud de la France avec Clara Clara Malraux. Il a notamment vu la pièce de Paul Claudel, La Ville, donnée par Vilar, Jean à Avignon et émet des critiques sur le texte.;Personnes citées : Malraux, Clara (1897-1982) | Georges Borgeaud (1914-1998) | Le Marquis de Sade (1740-1814);Hommage à Paul Claudel', NRF, n° 33, sept. 1955 | Vilar, Jean, La Ville de Paul Claudel. Palais des Papes à Avignon, 1955 | Auguste de Villiers de l'Isle-Adam, L'Eve Future de Maurice de Brunhoff, 1886;Avignon | 28 rue Saint-Léonard - La Rochelle (France) | Ile de Ré;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;15 novembre 1955;ARL16;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-11-15;France;1948-1983;N.R.F. (1919-) | Carrière littéraire;Jean Duvignaud reproche à la N.R.F. son manque de réactivité;;;;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;30 décembre 155;ARL17;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1955-12-30;France;1948-1983;Personnel;Vœux;Personnes citées : Arland, Janine;;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;29 avril 1956;ARL18;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1956-04-29;France;1948-1983;Carrière littéraire;Jean Duvignaud est en Italie et travaille à l'écriture de son prochain roman.;Personnes citées : Nourrissier, François (1927-2011) | Arland, Janine | Malraux, Clara (1897-1982);Jean Duvignaud, Le piège, Gallimard, 1954;Rome (Italie) | Palais Farnèse (Rome - Italie)  | Arezzo (Italie) | Orvieto (Italie);;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;26 avril 1957;ARL19;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1957-04-26;France;1948-1983;Carrière littéraire;Jean Duvignaud a terminé son nouveau roman et souhaite rencontrer Arland, Marcel pour le lui donner à lire.;Personnes citées : Aury, Dominique (1907-1998) | Paulhan, Jean (1884-1968);;12 rue de la Glacière - Paris (France) XIIIe;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;09 juillet 1957;ARL20;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Malraux, Clara (1897-1982);Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1957-07-09;Yougoslavie | France;1948-1983;Personnel;Jean et Clara sont en voyage en Yougoslavie.;;;Rovinj (Croatie) | rue Saint-Romain - Paris (France) VIe;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;07 aout 1957;ARL21;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 3 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1957-08-07;France;1948-1983;Carrière littéraire | Edition;Jean Duvignaud s'inquiète de ne pas avoir de nouvelles par Gallimard pour la publication de L'Or de la République, et fait part de ses problèmes d'argent.;Personnes citées : Gallimard, Gaston (1881-1975) | Malraux, Clara (1897-1982);Jean Duvignaud, L'Or de la République, Gallimard, 1957;Mocpoix (Château-Landon, Seine et Marne);Editions Gallimard;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;14 décembre 1957;ARL22;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1957-12-14;France;1948-1983;Critique littéraire | Edition | Carrière littéraire;Jean Duvignaud remercie Arland, Marcel pour la critique de son livre parue dans la N.R.F. Il évoque de nouveaux projets. Il s'étonne que Gallimard ne fournisse plus son livre L'Or de la République aux librairies.;;Jean Duvignaud, L'Or de la République, Gallimard, 1957;;N.R.F. (1919-) | Editions Gallimard;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;29 décembre 1957;ARL23;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1957-12-29;France;1948-1983;Personnel;;Personnes citées : Arland, Janine | Malraux, Clara (1897-1982);;;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;1958;ARL24;Projet ESR - ESNA;Jean Duvignaud (1921-2007);Malraux, Clara (1897-1982);Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1905-05-11;France | Portugal;1948-1983;Personnel;;;;Coimbra (Portugal) | 9 rue Saint-Romain - Paris (France) VIe;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;26 avril 1960;ARL25;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1960-04-26;France | Mexique;1948-1983;Personnel;;Personnes citées : Arland, Janine;;Teotihuacan (Mexique) | 5 rue Sébastien Bottin - Paris (France) VIIe;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;26 juin 1958;ARL26;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1958-06-26;France;1948-1983;Personnel;Au début de la lettre Jean Duvignaud fait allusion à une affaire parue dans les journaux et qui les concernent lui et Arland, Marcel.;Personnes citées : Nadeau, Maurice (1911-2013) | Arland, Janine | Malraux, Clara (1897-1982);;Bretagne;Festival d'Avignon;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;19 septembre 1958;ARL27;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier avec filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1958-09-19;France;1948-1983;Personnel;;Personnes citées : Arland, Janine | Malraux, Clara (1897-1982);;Cerisy | Paris (France) | La Rochelle (France) | Ile de Ré;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;05 aout 1959;ARL28;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Fiche cartonnée | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1959-08-05;France;1948-1983;Carrière littéraire | Edition | Personnel;Jean Duvignaud envoie à la N.R.F. l'épreuve de son nouveau roman La chasse à l'aigle. | Notes : Inscriptions manuscrites sur l'enveloppe : 'Planchon - Le Logis - Hesloup - par St Germain du Corbeis - Orne' et 'Maurice Vacher - Cergy - S et O';Personnes citées : Arland, Janine | Malraux, Clara (1897-1982);Jean Duvignaud, La chasse à l’aigle, Gallimard, 1960;Baiersbronn (Allemagne) | 9 rue Saint Romain Paris (France) VIe;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;18 avril 1960;ARL29;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1960-04-18;France | Maroc;1948-1983;Personnel;Jean Duvignaud voyage au Maroc;Personnes citées : Arland, Janine | Klee, Paul (1879-1940);;Rabat (Maroc) | 9 rue Saint Romain - Paris (France) VIe;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;1960;ARL30;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 2 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1905-05-13;France;1948-1983;Chronique littéraire | N.R.F. (1919-) | Carrière littéraire;Jean Duvignaud envoie le texte de sa nouvelle chronique 'Mythes et livres' pour le prochain numéro de la N.R.F. Il évoque la poursuite de son nouveau roman, des conférences au Maroc, l'angoisse du circuit de publication.;Personnes citées : Malraux, Clara (1897-1982);;Maroc;;Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;23 juillet 1960;ARL31;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Carte postale | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1960-07-23;France | Portugal;1948-1983;Personnel;;;;Amalfi (Portugal) | 5 rue Sébastien Bottin - Paris (France) VIIe;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;29 juillet 1960;ARL32;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 4 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);29/07/1960;France;1948-1983;Biographie de Arland, Marcel;Jean Duvignaud répond à la demande de Arland, Marcel d'écrire sur lui et son œuvre.;;;5 rue Sébastien Bottin - Paris (France) VIIe | 28 rue Saint-Léonard - La Rochelle (France);N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
Archives de Jean Duvignaud (1921-2007);Bibliothèque Littéraire Jacques Doucet, 8 Pl. du Panthéon, 75005 Paris - Fonds Arland, Marcel - ARL C;Projet autour des archives de Jean Duvignaud - Correspondance avec Marcel Arland;12 novembre 1960;ARL33;Projet ESR - ESNA;Jean Duvignaud (1921-2007);;Support : Papier sans filigrane | 1 f.;Texte manuscrit;fr;Marcel Arland (1899-1986);1960-11-12;France;1948-1983;Biographie de Arland, Marcel;Jean Duvignaud informe Arland, Marcel qu'il a récupéré tout ses livres pour travailler à la biographie.;Personnes citées : Astier, Christine;;;N.R.F. (1919-);Projet ESR - ESNA, données publiées avec l'autorisation des ayants droit, licence CC BY-NC-ND 4.0;CC BY-NC-ND 4.0
